year,season,fishery,length,freq
1988,2,13,10,0
1988,2,13,12,0
1988,2,13,14,0
1988,2,13,16,0
1988,2,13,18,0
1988,2,13,20,0
1988,2,13,22,0
1988,2,13,24,0
1988,2,13,26,0
1988,2,13,28,0
1988,2,13,30,0
1988,2,13,32,1.16946167168742
1988,2,13,34,1.2764828422342
1988,2,13,36,0
1988,2,13,38,0
1988,2,13,40,0.107021170546781
1988,2,13,42,1.36136549184897
1988,2,13,44,2.89249628292747
1988,2,13,46,0.692243847584715
1988,2,13,48,1.98798844535061
1988,2,13,50,4.49106260699563
1988,2,13,52,7.68360575978384
1988,2,13,54,6.59709651381679
1988,2,13,56,4.79935976441595
1988,2,13,58,6.44745042561776
1988,2,13,60,5.97297031707408
1988,2,13,62,0.446551769005845
1988,2,13,64,0.191903820161547
1988,2,13,66,2.33316981257419
1988,2,13,68,0
1988,2,13,70,0
1988,2,13,72,0
1988,2,13,74,0
1988,2,13,76,0
1988,2,13,78,0
1988,2,13,80,0
1988,2,13,82,0
1988,2,13,84,0
1988,2,13,86,0
1988,2,13,88,0
1988,2,13,90,0
1988,2,13,92,0
1988,2,13,94,0
1988,2,13,96,0
1988,2,13,98,0
1988,2,13,100,0
1988,2,13,102,0
1988,2,13,104,0
1988,2,13,106,0
1988,2,13,108,0
1988,2,13,110,0
1988,2,13,112,0
1988,2,13,114,0
1988,2,13,116,0
1988,2,13,118,0
1988,2,13,120,0
1988,2,13,122,0
1988,2,13,124,0
1988,2,13,126,0
1988,2,13,128,0
1988,2,13,130,0
1988,2,13,132,0
1988,2,13,134,0
1988,2,13,136,0
1988,2,13,138,0
1988,2,13,140,0
1988,2,13,142,0
1988,2,13,144,0
1988,2,13,146,0
1988,2,13,148,0
1988,2,13,150,0
1988,2,13,152,0
1988,2,13,154,0
1988,2,13,156,0
1988,2,13,158,0
1988,2,13,160,0
1988,2,13,162,0
1988,2,13,164,0
1988,2,13,166,0
1988,2,13,168,0
1988,2,13,170,0
1988,2,13,172,0
1988,2,13,174,0
1988,2,13,176,0
1988,2,13,178,0
1988,2,13,180,0
1988,2,13,182,0
1988,2,13,184,0
1988,2,13,186,0
1988,2,13,188,0
1988,2,13,190,0
1988,2,13,192,0
1988,2,13,194,0
1988,2,13,196,0
1988,2,13,198,0
1988,3,13,10,0
1988,3,13,12,0
1988,3,13,14,0
1988,3,13,16,0
1988,3,13,18,0
1988,3,13,20,0
1988,3,13,22,0
1988,3,13,24,0
1988,3,13,26,0
1988,3,13,28,0
1988,3,13,30,0
1988,3,13,32,0
1988,3,13,34,0
1988,3,13,36,0
1988,3,13,38,1.3935727633082
1988,3,13,40,0.0624615426151803
1988,3,13,42,4.24354228133935
1988,3,13,44,18.4175785413732
1988,3,13,46,18.4211901945628
1988,3,13,48,47.5116585604606
1988,3,13,50,56.7823633208813
1988,3,13,52,48.4964152524102
1988,3,13,54,60.6766886642249
1988,3,13,56,56.5308913164477
1988,3,13,58,54.9265723843258
1988,3,13,60,44.3836247976454
1988,3,13,62,44.734831044467
1988,3,13,64,39.931325153122
1988,3,13,66,3.57612137830626
1988,3,13,68,1.84093781757046
1988,3,13,70,0.230117227196308
1988,3,13,72,0.460234454392615
1988,3,13,74,0
1988,3,13,76,0
1988,3,13,78,0
1988,3,13,80,0
1988,3,13,82,0
1988,3,13,84,0
1988,3,13,86,0
1988,3,13,88,0
1988,3,13,90,0
1988,3,13,92,0
1988,3,13,94,0
1988,3,13,96,0
1988,3,13,98,0
1988,3,13,100,0
1988,3,13,102,0
1988,3,13,104,0
1988,3,13,106,0
1988,3,13,108,0
1988,3,13,110,0
1988,3,13,112,0
1988,3,13,114,0
1988,3,13,116,0
1988,3,13,118,0
1988,3,13,120,0
1988,3,13,122,0
1988,3,13,124,0
1988,3,13,126,0
1988,3,13,128,0
1988,3,13,130,0
1988,3,13,132,0
1988,3,13,134,0
1988,3,13,136,0
1988,3,13,138,0
1988,3,13,140,0
1988,3,13,142,0
1988,3,13,144,0
1988,3,13,146,0
1988,3,13,148,0
1988,3,13,150,0
1988,3,13,152,0
1988,3,13,154,0
1988,3,13,156,0
1988,3,13,158,0
1988,3,13,160,0
1988,3,13,162,0
1988,3,13,164,0
1988,3,13,166,0
1988,3,13,168,0
1988,3,13,170,0
1988,3,13,172,0
1988,3,13,174,0
1988,3,13,176,0
1988,3,13,178,0
1988,3,13,180,0
1988,3,13,182,0
1988,3,13,184,0
1988,3,13,186,0
1988,3,13,188,0
1988,3,13,190,0
1988,3,13,192,0
1988,3,13,194,0
1988,3,13,196,0
1988,3,13,198,0
1988,4,13,10,0
1988,4,13,12,0
1988,4,13,14,0
1988,4,13,16,0
1988,4,13,18,0
1988,4,13,20,0
1988,4,13,22,0
1988,4,13,24,0
1988,4,13,26,0
1988,4,13,28,0
1988,4,13,30,0
1988,4,13,32,0
1988,4,13,34,0
1988,4,13,36,0.942627621693785
1988,4,13,38,0.942627621693785
1988,4,13,40,0.942627621693785
1988,4,13,42,6.59839335185649
1988,4,13,44,7.52361682740615
1988,4,13,46,1.88525524338757
1988,4,13,48,2.81047871893723
1988,4,13,50,1.30628014302431
1988,4,13,52,3.17413124026775
1988,4,13,54,5.07679062979945
1988,4,13,56,9.40887207079372
1988,4,13,58,11.2445388235905
1988,4,13,60,13.3610999358654
1988,4,13,62,31.1491957250385
1988,4,13,64,27.5284360368506
1988,4,13,66,18.0234464621914
1988,4,13,68,4.67832981618067
1988,4,13,70,0.942627621693785
1988,4,13,72,0.942627621693785
1988,4,13,74,0
1988,4,13,76,0
1988,4,13,78,0
1988,4,13,80,0
1988,4,13,82,0
1988,4,13,84,0
1988,4,13,86,0
1988,4,13,88,0
1988,4,13,90,0
1988,4,13,92,0
1988,4,13,94,0
1988,4,13,96,0
1988,4,13,98,0.942627621693785
1988,4,13,100,0
1988,4,13,102,0
1988,4,13,104,0
1988,4,13,106,0
1988,4,13,108,0
1988,4,13,110,0
1988,4,13,112,0
1988,4,13,114,0.942627621693785
1988,4,13,116,0
1988,4,13,118,0
1988,4,13,120,0
1988,4,13,122,0
1988,4,13,124,0
1988,4,13,126,0
1988,4,13,128,0
1988,4,13,130,0
1988,4,13,132,0
1988,4,13,134,0
1988,4,13,136,0
1988,4,13,138,0
1988,4,13,140,0
1988,4,13,142,0
1988,4,13,144,0
1988,4,13,146,0
1988,4,13,148,0
1988,4,13,150,0
1988,4,13,152,0
1988,4,13,154,0
1988,4,13,156,0
1988,4,13,158,0
1988,4,13,160,0
1988,4,13,162,0
1988,4,13,164,0
1988,4,13,166,0
1988,4,13,168,0
1988,4,13,170,0
1988,4,13,172,0
1988,4,13,174,0
1988,4,13,176,0
1988,4,13,178,0
1988,4,13,180,0
1988,4,13,182,0
1988,4,13,184,0
1988,4,13,186,0
1988,4,13,188,0
1988,4,13,190,0
1988,4,13,192,0
1988,4,13,194,0
1988,4,13,196,0
1988,4,13,198,0
1989,1,13,10,0
1989,1,13,12,0
1989,1,13,14,0
1989,1,13,16,0
1989,1,13,18,0
1989,1,13,20,0
1989,1,13,22,0
1989,1,13,24,0
1989,1,13,26,0
1989,1,13,28,0
1989,1,13,30,0
1989,1,13,32,0
1989,1,13,34,0
1989,1,13,36,0
1989,1,13,38,0
1989,1,13,40,0
1989,1,13,42,0.03740901204204
1989,1,13,44,1.01004332513508
1989,1,13,46,7.39453575347161
1989,1,13,48,22.1913215421876
1989,1,13,50,45.439326044767
1989,1,13,52,50.0519311292629
1989,1,13,54,21.0726335024786
1989,1,13,56,7.97498301362945
1989,1,13,58,0.574798958495349
1989,1,13,60,0.275526862159029
1989,1,13,62,0.33668110837836
1989,1,13,64,0.3740901204204
1989,1,13,66,0.52372616858856
1989,1,13,68,0.52372616858856
1989,1,13,70,0.3740901204204
1989,1,13,72,0.59854419267264
1989,1,13,74,0.11222703612612
1989,1,13,76,0.03740901204204
1989,1,13,78,0
1989,1,13,80,0
1989,1,13,82,0
1989,1,13,84,0
1989,1,13,86,0
1989,1,13,88,0
1989,1,13,90,0
1989,1,13,92,0
1989,1,13,94,0
1989,1,13,96,0
1989,1,13,98,0
1989,1,13,100,0
1989,1,13,102,0
1989,1,13,104,0
1989,1,13,106,0
1989,1,13,108,0
1989,1,13,110,0
1989,1,13,112,0
1989,1,13,114,0
1989,1,13,116,0
1989,1,13,118,0
1989,1,13,120,0
1989,1,13,122,0
1989,1,13,124,0
1989,1,13,126,0
1989,1,13,128,0
1989,1,13,130,0
1989,1,13,132,0
1989,1,13,134,0
1989,1,13,136,0
1989,1,13,138,0
1989,1,13,140,0
1989,1,13,142,0
1989,1,13,144,0
1989,1,13,146,0
1989,1,13,148,0
1989,1,13,150,0
1989,1,13,152,0
1989,1,13,154,0
1989,1,13,156,0
1989,1,13,158,0
1989,1,13,160,0
1989,1,13,162,0
1989,1,13,164,0
1989,1,13,166,0
1989,1,13,168,0
1989,1,13,170,0
1989,1,13,172,0
1989,1,13,174,0
1989,1,13,176,0
1989,1,13,178,0
1989,1,13,180,0
1989,1,13,182,0
1989,1,13,184,0
1989,1,13,186,0
1989,1,13,188,0
1989,1,13,190,0
1989,1,13,192,0
1989,1,13,194,0
1989,1,13,196,0
1989,1,13,198,0
1989,2,13,10,0
1989,2,13,12,0
1989,2,13,14,0
1989,2,13,16,0
1989,2,13,18,0
1989,2,13,20,0
1989,2,13,22,0
1989,2,13,24,0
1989,2,13,26,0
1989,2,13,28,0
1989,2,13,30,0
1989,2,13,32,0
1989,2,13,34,0
1989,2,13,36,0
1989,2,13,38,0.409243298022673
1989,2,13,40,2.81593992302484
1989,2,13,42,0
1989,2,13,44,6.46328691450189
1989,2,13,46,17.6499029583605
1989,2,13,48,40.0926361641427
1989,2,13,50,62.7573018182501
1989,2,13,52,80.9169370819442
1989,2,13,54,64.8561000852723
1989,2,13,56,35.8105736590476
1989,2,13,58,23.4964177452816
1989,2,13,60,10.5241130018587
1989,2,13,62,7.53950003275303
1989,2,13,64,8.55683287884907
1989,2,13,66,2.64655314311192
1989,2,13,68,1.2006733059971
1989,2,13,70,0.818486596045346
1989,2,13,72,2.57038717423428
1989,2,13,74,3.46503973915726
1989,2,13,76,2.01915990204245
1989,2,13,78,5.3480680816054
1989,2,13,80,4.85680640013024
1989,2,13,82,5.73025479155715
1989,2,13,84,5.37512466967631
1989,2,13,86,3.95630142063242
1989,2,13,88,1.4188232490439
1989,2,13,90,0
1989,2,13,92,0
1989,2,13,94,0
1989,2,13,96,0
1989,2,13,98,0
1989,2,13,100,0
1989,2,13,102,0
1989,2,13,104,0
1989,2,13,106,0
1989,2,13,108,0
1989,2,13,110,0
1989,2,13,112,0
1989,2,13,114,0
1989,2,13,116,0
1989,2,13,118,0
1989,2,13,120,0
1989,2,13,122,0
1989,2,13,124,0
1989,2,13,126,0
1989,2,13,128,0
1989,2,13,130,0
1989,2,13,132,0
1989,2,13,134,0
1989,2,13,136,0
1989,2,13,138,0
1989,2,13,140,0
1989,2,13,142,0
1989,2,13,144,0
1989,2,13,146,0
1989,2,13,148,0
1989,2,13,150,0
1989,2,13,152,0
1989,2,13,154,0
1989,2,13,156,0
1989,2,13,158,0
1989,2,13,160,0
1989,2,13,162,0
1989,2,13,164,0
1989,2,13,166,0
1989,2,13,168,0
1989,2,13,170,0
1989,2,13,172,0
1989,2,13,174,0
1989,2,13,176,0
1989,2,13,178,0
1989,2,13,180,0
1989,2,13,182,0
1989,2,13,184,0
1989,2,13,186,0
1989,2,13,188,0
1989,2,13,190,0
1989,2,13,192,0
1989,2,13,194,0
1989,2,13,196,0
1989,2,13,198,0
1989,3,13,10,0
1989,3,13,12,0
1989,3,13,14,0
1989,3,13,16,0
1989,3,13,18,0
1989,3,13,20,0
1989,3,13,22,0
1989,3,13,24,0
1989,3,13,26,0
1989,3,13,28,0
1989,3,13,30,0
1989,3,13,32,0
1989,3,13,34,0
1989,3,13,36,0
1989,3,13,38,0
1989,3,13,40,0
1989,3,13,42,0
1989,3,13,44,0
1989,3,13,46,0
1989,3,13,48,0
1989,3,13,50,3.56848583233076
1989,3,13,52,5.51728597882253
1989,3,13,54,19.2231888017719
1989,3,13,56,9.89561465407279
1989,3,13,58,9.0828955203283
1989,3,13,60,4.4598882177072
1989,3,13,62,0.486480963916695
1989,3,13,64,0
1989,3,13,66,0
1989,3,13,68,0
1989,3,13,70,0.486480963916695
1989,3,13,72,0
1989,3,13,74,2.43240481958347
1989,3,13,76,0
1989,3,13,78,0.486480963916695
1989,3,13,80,4.37832867525026
1989,3,13,82,4.86480963916695
1989,3,13,84,7.29721445875042
1989,3,13,86,4.37832867525026
1989,3,13,88,1.45944289175009
1989,3,13,90,0
1989,3,13,92,0
1989,3,13,94,0.486480963916695
1989,3,13,96,0
1989,3,13,98,0
1989,3,13,100,0
1989,3,13,102,0.486480963916695
1989,3,13,104,0
1989,3,13,106,0
1989,3,13,108,0
1989,3,13,110,0
1989,3,13,112,0
1989,3,13,114,0
1989,3,13,116,0
1989,3,13,118,0
1989,3,13,120,0
1989,3,13,122,0
1989,3,13,124,0
1989,3,13,126,0
1989,3,13,128,0
1989,3,13,130,0
1989,3,13,132,0
1989,3,13,134,0
1989,3,13,136,0
1989,3,13,138,0
1989,3,13,140,0
1989,3,13,142,0
1989,3,13,144,0
1989,3,13,146,0
1989,3,13,148,0
1989,3,13,150,0
1989,3,13,152,0
1989,3,13,154,0
1989,3,13,156,0
1989,3,13,158,0
1989,3,13,160,0
1989,3,13,162,0
1989,3,13,164,0
1989,3,13,166,0
1989,3,13,168,0
1989,3,13,170,0
1989,3,13,172,0
1989,3,13,174,0
1989,3,13,176,0
1989,3,13,178,0
1989,3,13,180,0
1989,3,13,182,0
1989,3,13,184,0
1989,3,13,186,0
1989,3,13,188,0
1989,3,13,190,0
1989,3,13,192,0
1989,3,13,194,0
1989,3,13,196,0
1989,3,13,198,0
1990,1,13,10,0
1990,1,13,12,0
1990,1,13,14,0
1990,1,13,16,0
1990,1,13,18,0
1990,1,13,20,0
1990,1,13,22,0
1990,1,13,24,0
1990,1,13,26,0
1990,1,13,28,0
1990,1,13,30,0
1990,1,13,32,0
1990,1,13,34,0
1990,1,13,36,0.137378042821586
1990,1,13,38,0.375620209917436
1990,1,13,40,3.61055178507994
1990,1,13,42,6.97905987162309
1990,1,13,44,27.1198889985109
1990,1,13,46,59.6552971511776
1990,1,13,48,118.505512229685
1990,1,13,50,161.163665077145
1990,1,13,52,89.2525952373817
1990,1,13,54,54.9562101150449
1990,1,13,56,17.9307294054488
1990,1,13,58,8.20890113639977
1990,1,13,60,13.8543521048359
1990,1,13,62,7.83916537724904
1990,1,13,64,11.2500574365332
1990,1,13,66,9.07585195637081
1990,1,13,68,7.05749005659568
1990,1,13,70,13.8285549554371
1990,1,13,72,6.65014965340147
1990,1,13,74,3.49018784920745
1990,1,13,76,1.27033502638321
1990,1,13,78,1.0275353083382
1990,1,13,80,1.64595523630064
1990,1,13,82,0.651915098420765
1990,1,13,84,0.375620209917436
1990,1,13,86,1.87810104958718
1990,1,13,88,1.87810104958718
1990,1,13,90,1.27033502638321
1990,1,13,92,2.20089779425792
1990,1,13,94,4.59809345039344
1990,1,13,96,4.25832119188495
1990,1,13,98,2.28089482088366
1990,1,13,100,4.76044028459553
1990,1,13,102,11.6879099267686
1990,1,13,104,8.82456971821037
1990,1,13,106,6.57828316382088
1990,1,13,108,2.49730480524721
1990,1,13,110,0
1990,1,13,112,0
1990,1,13,114,0
1990,1,13,116,0.519094606548336
1990,1,13,118,0
1990,1,13,120,0
1990,1,13,122,0
1990,1,13,124,0.519094606548336
1990,1,13,126,0
1990,1,13,128,0
1990,1,13,130,0
1990,1,13,132,0
1990,1,13,134,0
1990,1,13,136,0
1990,1,13,138,0
1990,1,13,140,0
1990,1,13,142,0
1990,1,13,144,0
1990,1,13,146,0
1990,1,13,148,0
1990,1,13,150,0
1990,1,13,152,0
1990,1,13,154,0
1990,1,13,156,0
1990,1,13,158,0
1990,1,13,160,0
1990,1,13,162,0
1990,1,13,164,0
1990,1,13,166,0
1990,1,13,168,0
1990,1,13,170,0
1990,1,13,172,0
1990,1,13,174,0
1990,1,13,176,0
1990,1,13,178,0
1990,1,13,180,0
