age,length,weight,maturity,natmort
1,23.3321,0.3371,0.000675321958474195,0.4981
2,36.8745,1.2448,0.00067585046412455,0.3152
3,48.9726,2.8284,0.000682587356202191,0.2373
4,59.7804,5.0499,0.000757078359924668,0.1944
5,69.4355,7.8119,0.00192171616584558,0.1674
6,78.0608,10.9938,0.00954655870055054,0.1489
7,85.7663,14.4733,0.03875065836827,0.1355
8,92.6499,18.1371,0.113650661175286,0.1254
9,98.7993,21.8871,0.239466517262503,0.1176
10,104.2929,25.6415,0.387401533234989,0.1114
11,109.2005,29.3351,0.52321810271257,0.1064
12,113.5848,32.9179,0.630852895368833,0.1023
13,117.5014,36.3532,0.710305727345406,0.0989
14,121.0004,39.6153,0.767815259118145,0.0961
15,124.1261,42.6882,0.809912731408405,0.0936
16,126.9185,45.563,0.841554965679973,0.0916
17,129.413,48.2369,0.866087642439021,0.0898
18,131.6415,50.7115,0.885674538126178,0.0883
19,133.6324,52.992,0.90170937237811,0.087
20,135.4109,55.0856,0.915104182942849,0.0858
21,136.9997,57.0016,0.926471687918218,0.0848
22,138.419,58.7501,0.936236383140626,0.084
23,139.687,60.3417,0.94470184261111,0.0832
24,140.8198,61.7874,0.952092641376303,0.0825
25,141.8317,63.0982,0.958579500144823,0.0819
26,142.7357,64.2846,0.964296054096599,0.0814
27,143.5433,65.3568,0.969349247036657,0.081
28,144.2647,66.3247,0.973826621980119,0.0806
29,144.9093,67.1973,0.977800938730438,0.0802
30,145.485,67.9832,0.98133362158516,0.0799
31,145.9994,68.6904,0.984477132891268,0.0796
32,146.4589,69.3263,0.987276679796643,0.0794
33,146.8694,69.8976,0.989771515890763,0.0791
34,147.2361,70.4106,0.991995933079818,0.0789
35,147.5637,70.8711,0.993980031736609,0.0788
36,147.8564,71.2841,0.995750329466431,0.0786
37,148.1178,71.6543,0.997330255149879,0.0785
38,148.3514,71.9862,0.998740555827019,0.0783
39,148.56,72.2835,0.999499909439298,0.0782
40,148.7464,72.5498,0.999679882566874,0.0781
