year,area,stage,f
1952,1,adult,0.0191880513970253
1953,1,adult,0.0162935857331618
1954,1,adult,0.0176616116052725
1955,1,adult,0.0193626010602688
1956,1,adult,0.0270811788169283
1957,1,adult,0.025731424054779
1958,1,adult,0.0270631733348851
1959,1,adult,0.0301936458285271
1960,1,adult,0.0465335334807825
1961,1,adult,0.0231474909239132
1962,1,adult,0.0179627002460457
1963,1,adult,0.0288598738633357
1964,1,adult,0.0192853237038255
1965,1,adult,0.0217711284986439
1966,1,adult,0.0266971057377601
1967,1,adult,0.040738377199717
1968,1,adult,0.0255755320460966
1969,1,adult,0.0313204810844844
1970,1,adult,0.0284481298864986
1971,1,adult,0.0231128244797017
1972,1,adult,0.0212827744245629
1973,1,adult,0.018310399981079
1974,1,adult,0.0222053696866772
1975,1,adult,0.0329341822456764
1976,1,adult,0.0388819423793683
1977,1,adult,0.0405195384249964
1978,1,adult,0.0376161775242875
1979,1,adult,0.0363212110303569
1980,1,adult,0.0358961878886756
1981,1,adult,0.0361191921136435
1982,1,adult,0.0372552646168422
1983,1,adult,0.0378080857034837
1984,1,adult,0.0422433893487643
1985,1,adult,0.0435954576696119
1986,1,adult,0.0478566800711436
1987,1,adult,0.0438156903807855
1988,1,adult,0.0527863244421558
1989,1,adult,0.0487771178871037
1990,1,adult,0.0430907052631625
1991,1,adult,0.0517950886896395
1992,1,adult,0.0569188202110987
1993,1,adult,0.0647870176686564
1994,1,adult,0.0466534004880618
1995,1,adult,0.0588554670779877
1996,1,adult,0.055457827460759
1997,1,adult,0.0659673321014274
1998,1,adult,0.0597053811239113
1999,1,adult,0.0700306582602313
2000,1,adult,0.0560505613040205
2001,1,adult,0.0527918762726532
2002,1,adult,0.0589996877509102
2003,1,adult,0.0755148283334977
2004,1,adult,0.071496451252756
2005,1,adult,0.0657412318596664
2006,1,adult,0.0849538129995235
2007,1,adult,0.0760878580433329
2008,1,adult,0.0638365030308005
2009,1,adult,0.0593907268908626
2010,1,adult,0.0624785185104082
2011,1,adult,0.0644276580374683
2012,1,adult,0.0578639473469733
2013,1,adult,0.0424806886886724
2014,1,adult,0.0522784824856684
2015,1,adult,0.0653176493593311
2016,1,adult,0.0658460029927013
2017,1,adult,0.0506151295748554
2018,1,adult,0.0459480357611875
2019,1,adult,0.056903334522783
2020,1,adult,0.0615425137301356
2021,1,adult,0.0636728370029314
1952,2,adult,0.00777603654629036
1953,2,adult,0.00567663611666592
1954,2,adult,0.00346773199448762
1955,2,adult,0.0078814385424325
1956,2,adult,0.00478777471661417
1957,2,adult,0.00587430938074275
1958,2,adult,0.0146586310577733
