year,season,fishery,ess,length,obs,pred
1988,3,13,502.62,10,0,0
1988,3,13,502.62,12,0,0
1988,3,13,502.62,14,0,0
1988,3,13,502.62,16,0,1e-04
1988,3,13,502.62,18,0,3e-04
1988,3,13,502.62,20,0,6e-04
1988,3,13,502.62,22,0,9e-04
1988,3,13,502.62,24,0,0.001
1988,3,13,502.62,26,0,8e-04
1988,3,13,502.62,28,0,7e-04
1988,3,13,502.62,30,0,6e-04
1988,3,13,502.62,32,0,9e-04
1988,3,13,502.62,34,0,0.0013
1988,3,13,502.62,36,0,0.0028
1988,3,13,502.62,38,0.00277262,0.0054
1988,3,13,502.62,40,0.000124272,0.0112
1988,3,13,502.62,42,0.00844284,0.0223
1988,3,13,502.62,44,0.0366431,0.0388
1988,3,13,502.62,46,0.0366503,0.0583
1988,3,13,502.62,48,0.094528,0.0734
1988,3,13,502.62,50,0.112973,0.0806
1988,3,13,502.62,52,0.0964872,0.0823
1988,3,13,502.62,54,0.120721,0.0846
1988,3,13,502.62,56,0.112472,0.0909
1988,3,13,502.62,58,0.10928,0.0973
1988,3,13,502.62,60,0.0883045,0.0964
1988,3,13,502.62,62,0.0890033,0.0839
1988,3,13,502.62,64,0.0794463,0.0626
1988,3,13,502.62,66,0.00711496,0.0401
1988,3,13,502.62,68,0.00366268,0.0219
1988,3,13,502.62,70,0.000457835,0.0104
1988,3,13,502.62,72,0.000915671,0.0044
1988,3,13,502.62,74,0,0.0018
1988,3,13,502.62,76,0,5e-04
1988,3,13,502.62,78,0,5e-04
1988,3,13,502.62,80,0,7e-04
1988,3,13,502.62,82,0,0.001
1988,3,13,502.62,84,0,0.0014
1988,3,13,502.62,86,0,0.0018
1988,3,13,502.62,88,0,0.0023
1988,3,13,502.62,90,0,0.0026
1988,3,13,502.62,92,0,0.0027
1988,3,13,502.62,94,0,0.0026
1988,3,13,502.62,96,0,0.0022
1988,3,13,502.62,98,0,0.0017
1988,3,13,502.62,100,0,0.0012
1988,3,13,502.62,102,0,8e-04
1988,3,13,502.62,104,0,5e-04
1988,3,13,502.62,106,0,3e-04
1988,3,13,502.62,108,0,2e-04
1988,3,13,502.62,110,0,1e-04
1988,3,13,502.62,112,0,1e-04
1988,3,13,502.62,114,0,0
1988,3,13,502.62,116,0,0
1988,3,13,502.62,118,0,0
1988,3,13,502.62,120,0,0
1988,3,13,502.62,122,0,0
1988,3,13,502.62,124,0,0
1988,3,13,502.62,126,0,0
1988,3,13,502.62,128,0,0
1988,3,13,502.62,130,0,0
1988,3,13,502.62,132,0,0
1988,3,13,502.62,134,0,0
1988,3,13,502.62,136,0,0
1988,3,13,502.62,138,0,0
