year,rec,catch,tb,sb,sbf0,dep,f
1952,162990655,33847.51,3871168.75,2704645.6,2713163.35,0.996860583421931,0.0087391
1953,242809563.87,32284.73,3878268,2738305.775,2774860.4,0.986826499452009,0.008316
1954,195254266.86,22012.94,3939893,2762913.025,2818859.075,0.980152945389794,0.0055875
1955,131227061.07,34773.75,4121948.25,2759356.85,2831051.425,0.974675636632069,0.0084591
1956,125022845.17,39063.05,4260797.75,2848848.575,2940410.525,0.968860827690038,0.0091812
1957,111233896.26,50519.58,4202649,3024736.175,3138226.7,0.96383609730935,0.012019
1958,200555078.96,68792.56,3982530.25,3026788.5,3175289.25,0.953232370877708,0.017229
1959,53414164.76,60286.87,3823048,2850800.275,3033993.15,0.939619878508954,0.015727
1960,114873135.6,59274.86,3614851.75,2668829.525,2871133.425,0.9295386629411,0.016314
1961,84073668.05,56082.85,3400082.5,2593376.1,2806170,0.92416927698607,0.016437
1962,117040925.41,51352.96,3173818.25,2412069.725,2629168.65,0.91742677861308,0.016126
1963,86696118.1,62582.79,2974254,2257866.225,2477807.625,0.911235481810256,0.020992
1964,92961673.43,45000.34,2803084.025,2093037.45,2316562.025,0.903510213589036,0.015973
1965,94077361.14,42051.26,2672865,1980333.25,2192043.625,0.903418721878767,0.01572
1966,120269248.44,44525.32,2533167.7,1887280.375,2090493.275,0.902791890110242,0.017569
1967,71709495.02,47566.98,2460193.9,1792367.85,1992966.75,0.899346589701007,0.019317
1968,77288713.08,37784.29,2395604.7,1703316.125,1898295.7,0.897287037525292,0.015754
1969,110037426.34,46428.94,2305999.075,1692282.875,1883841.25,0.898315011946999,0.020099
1970,81731704.5,43097.61,2258990.8,1629215.975,1818904.625,0.895712701263817,0.019071
1971,89035410.37,42701.02,2183543,1567326.55,1754546.35,0.893294468966294,0.019525
1972,78302916.2,56626.3,2073644.475,1550102.875,1745898.4,0.887853998262442,0.027281
1973,115657724.92,46287.43,2005766.375,1454931.175,1664728.075,0.873975273709492,0.023047
1974,47705684.39,49337.1,1999392.825,1384994.075,1600942.125,0.865111894660152,0.024674
1975,166073618.4,61451,2010601.425,1373842.45,1603611.975,0.856717504868969,0.030533
1976,84423527.94,67294.6,2077562.45,1369243.45,1621755.525,0.844297077390872,0.032388
1977,131620781.84,74319.7,2082972.7,1401661.975,1679660.875,0.834491054630299,0.035666
1978,23186217.168,62634.3,2082256.775,1448955.3,1750058.3,0.827946874684118,0.030083
1979,63980273.74,75636.2,2010349.3,1428131.525,1749746.225,0.81619351686271,0.037645
1980,101515177.98,72029.1,1898891.225,1409911.725,1754908.6,0.803410345701195,0.037859
1981,97550531.21,66938.6,1837345.875,1315457.275,1665786.825,0.789691246957725,0.036423
1982,119739834.79,80441.7,1831781.525,1254385.775,1609485.2,0.779370804403793,0.043912
1983,95260095.3,83793.3,1851154.125,1230731.7,1601965.575,0.768263512778669,0.045259
1984,85328943.5,90330.2,1839067.725,1251513.35,1657479,0.755070411148497,0.04911
1985,129325891.9,93639.1,1807808.5,1257944.05,1713233.975,0.734251169633733,0.05179
1986,74490560.35,87166.1,1794433.175,1224649.05,1722812.175,0.710843043583669,0.04858
1987,105342045.76,110552.3,1746203.95,1210041.85,1748525.525,0.692035565222876,0.06329
1988,152279081.8,101389.7,1746046.25,1183864.225,1767955.775,0.66962321215303,0.05813
1989,84035497.67,104993,1809974.25,1144868.05,1761766.275,0.649841052270115,0.058
1990,123975672.3,128337.6,1825981.075,1192220.625,1863021.925,0.639939127393791,0.07028
1991,91236249.99,115698.2,1794480.2,1227494.3,1946783.55,0.630524281962419,0.06443
1992,128242777,140420.2,1730147.325,1211047.15,1982645.35,0.610823892432401,0.0811
1993,76482463.44,121836.4,1667431.05,1156935.025,1986570.625,0.582377998768607,0.07306
1994,115948736.5,140146.5,1603278.8,1100308.725,1990657.125,0.552736436215755,0.0875
1995,113329425.31,125025.1,1588121.25,1051646.225,1995972.7,0.526884072612817,0.07877
1996,140880661.1,119747.6,1630312.7,1017500.95,1981090.25,0.513606560831845,0.07348
1997,77658428.56,151359.2,1654278.45,1065577.45,2041926.15,0.521849161880806,0.09153
1998,142921747.31,173481.2,1597143.075,1066161.675,2096879.3,0.508451619032149,0.10853
1999,94595746.98,178840.2,1532608.75,1038589.85,2118661.775,0.490210312120253,0.11686
2000,176061318.18,163358.1,1461753.475,981891.025,2122564.075,0.462596647406274,0.11177
2001,108738862.6,145895.8,1485500.975,930808.175,2123793.9,0.438276131690556,0.09817
2002,139208161.6,175542.7,1509956.675,921275.35,2168196.025,0.4249040858748,0.11627
2003,94208156.06,158948.9,1516382.175,948756.275,2258280.4,0.420123327023518,0.1048
2004,169135935.7,213462.7,1505093.45,960434.25,2312395.425,0.415341701344181,0.14185
2005,92067554.9,166381.5,1490171.6,937694.925,2322955.5,0.403664609588948,0.11166
2006,108653691.5,176205.9,1470049.475,932383.55,2368314.35,0.393690791089451,0.11992
2007,127321868.5,171203,1417006.75,937645.45,2418225.125,0.387741174428497,0.12086
2008,100792070.07,172680.8,1351085.35,903251.25,2395436.525,0.377071669640672,0.12778
2009,128762192,169952.1,1302125.025,857373.625,2361832.15,0.363012089999706,0.13052
2010,92665966.9,140520.7,1284421.825,809651.025,2323728.75,0.348427511171431,0.10933
2011,105817551.1,169460.1,1248132.075,803087.025,2317730.6,0.346497140349271,0.13545
2012,149217188.2,171232.1,1224899.625,789022.4,2295848.425,0.343673559372719,0.13971
2013,135546370.2,161847.5,1261638.475,746924.3,2233516.75,0.334416251859316,0.12824
2014,82298536.91,180983,1292415.925,762374.8,2253956.55,0.338238463381204,0.13996
2015,124193257.8,156687.3,1264969.775,798961.85,2330017.875,0.342899450932324,0.12378
2016,123865374,159334,1261627.3,807471.525,2360368.125,0.342095589432686,0.12618
2017,109506841.9,130686.1,1260798.775,794598.225,2327230.425,0.341435130988372,0.10364
2018,97640240.6,156269.4,1268478.075,798441.05,2324899.6,0.343430335658366,0.12312
2019,76778273.7,139541.8,1237966.225,799084.875,2325632.275,0.34359897890564,0.1127
2020,158465655.7,152794.9,1206407.65,790229.65,2297990.375,0.34387857259846,0.12655
2021,111785598.8,139176.4,1223313.15,768677.675,2231516.575,0.344464246249213,0.11382
